,Restaurant name,Ranking,Number of reviews,Average vote,Price range,Price level,address,Postal code,Restaurant type 1,Restaurant type 2,Boroughs,Population,Income
615,Qom Restaurante,616,54,4.5,$$ - $$$,4.0,"Carrer de Benicarló, 25, 46020, Valencia Spain",46020,Mediterranean,Spanish,Benimaclet,46868,14834.0
616,Sowu,617,53,4.5,$$ - $$$,4.0,"Avenida instituto obrero 19 Bajo Izquierda, 46013, Valencia Spain",46013,Japanese,Sushi,Quatre Carreres,52940,12357.0
617,Yarza,618,120,4.0,$$ - $$$,4.0,"Carrer de Ciscar, 47, 46005, Valencia Spain",46005,Mediterranean,Spanish,l'Eixample,76697,20299.0
618,Restaurante Japones Koyama,619,81,4.5,$$ - $$$,4.0,"Calle Ruzafa 38 Bajo Izquierda, 46006, Valencia Spain",46006,Japanese,Sushi,l'Eixample,76697,20299.0
619,Bar Restaurante Ivan,620,70,4.5,$$ - $$$,4.0,"Calle Escultor Garcia Mas 8, 46015, Valencia Spain",46015,Mediterranean,Spanish,Campanar,35767,15126.0
620,Tommy Mel's,621,266,4.0,$$ - $$$,4.0,"Calle Menorca 19 Centro Comercial Aqua Multiespacio, 46023, Valencia Spain",46023,American,,Camins al Grau,46154,13788.0
621,La Tastaolletes,622,339,4.0,$$ - $$$,4.0,"Calle Salvador Giner 6, 46003, Valencia Spain",46003,Spanish,,Ciutat Vella,26542,19009.0
622,Bodega La Aldeana 1927,623,193,4.0,$$ - $$$,4.0,"Calle de Jose Benlliure 258, 46011, Valencia Spain",46011,Mediterranean,Spanish,Poblats Marítims,82178,11698.0
623,Que ganeta tinc,624,104,4.5,$$ - $$$,4.0,"Plaza Xuquer 4, 46021, Valencia Spain",46021,Mediterranean,Spanish,Algirós,68400,15105.0
624,La Roche,625,453,4.0,$$ - $$$,4.0,"Calle Bolseria 20, 46001, Valencia Spain",46001,Seafood,Mediterranean,Ciutat Vella,26542,19009.0
625,U Polek,626,37,5.0,$,1.0,"Calle Campoamor 50, 46022, Valencia Spain",46022,Polish,European,Algirós,68400,15105.0
626,Enchilame,627,75,4.5,$,1.0,"Calle de Cadiz 55, 46006, Valencia Spain",46006,Mexican,Latin,l'Eixample,76697,20299.0
627,La Greta,628,155,4.0,$$ - $$$,4.0,"Calle Pere Bonfill 7, 46008, Valencia Spain",46008,Mediterranean,European,Extramurs,73050,16794.0
628,The Rebel Pigs,629,65,4.5,$$ - $$$,4.0,"Carrer dels Borges 4, 46003, Valencia Spain",46003,Steakhouse,European,Ciutat Vella,26542,19009.0
629,Trufa salvaje valencia,630,50,4.5,$$ - $$$,4.0,"Calle de Salamanca 26 Bajo, 46005, Valencia Spain",46005,Mediterranean,Spanish,l'Eixample,76697,20299.0
630,Ses Salines,631,54,5.0,$$ - $$$,4.0,"Calle Naturalista Arevalo Baca 17, 46010, Valencia Spain",46010,Mediterranean,Soups,El Pla del Real,26491,20207.0
631,En-BogaBar,632,222,4.0,$$ - $$$,4.0,"Av. d'Aragó, 16, 46021, Valencia Spain",46021,Spanish,,Algirós,68400,15105.0
632,Sahara Restaurante,633,180,4.0,$$ - $$$,4.0,"Carrer del Mar, 52, 46003, Valencia Spain",46003,Moroccan,Mediterranean,Ciutat Vella,26542,19009.0
633,Pastarena,634,34,5.0,$$ - $$$,4.0,"Calle de la Reina Dona Maria 9, 46006, Valencia Spain",46006,Italian,Mediterranean,l'Eixample,76697,20299.0
634,Zen,635,225,4.0,$$$$,7.0,"Avenida Pio XII 33, 46009, Valencia Spain",46009,Chinese,Japanese,La Saïdia,7022,13023.0
635,Tariq Valencia - Curry Lovers,636,92,4.5,$$ - $$$,4.0,"Calle Pintor Vila Prades 21 Zona Juan Llorens, 46008, Valencia Spain",46008,Indian,Middle Eastern,Extramurs,73050,16794.0
636,Aleimuna,637,70,4.5,$$ - $$$,4.0,"Calle Luis Oliag 2, 46006, Valencia Spain",46006,Moroccan,Mediterranean,l'Eixample,76697,20299.0
637,Cafe O'clock,638,96,4.5,$$ - $$$,4.0,"Calle Chiva 1, 46018, Valencia Spain",46018,Spanish,Mediterranean,l'Olivereta,35767,11410.0
638,Kazimier Bistro,639,27,5.0,$$ - $$$,4.0,"Calle de Salamanca 13, 46005, Valencia Spain",46005,Spanish,,l'Eixample,76697,20299.0
639,Zynnia,640,52,4.5,$$ - $$$,4.0,"Plaza de Cánovas del Castillo Nº 1, 46005, Valencia Spain",46005,Mediterranean,Spanish,l'Eixample,76697,20299.0
640,Abadia d'Espi,641,214,4.0,$$ - $$$,4.0,"Plaza Arzobispo 5, 46003, Valencia Spain",46003,Mediterranean,European,Ciutat Vella,26542,19009.0
641,ORIO Valencia,642,1411,3.5,$$ - $$$,4.0,"Carrer de Sant Vicent Màrtir, 23 Sant Francesc, 46002, Valencia Spain",46002,Mediterranean,European,Ciutat Vella,26542,19009.0
642,Restaurante Novamar,643,123,4.0,$$ - $$$,4.0,"Paseo Maritimo De La Malvarrosa Modulo 8, 46011, Valencia Spain",46011,Mediterranean,Seafood,Poblats Marítims,82178,11698.0
643,La Chingada,644,163,4.0,$$ - $$$,4.0,"Carrer de Mossen Femenia, 6, 46006, Valencia Spain",46006,Mexican,South American,l'Eixample,76697,20299.0
644,Anita giro,645,107,4.5,$$ - $$$,4.0,"Calle Pintor Domingo 7 Pintor domingo, 7, Valencia, Provincia de Valencia, Comunidad Valenciana, 46001, Valencia Spain",46001,International,Mediterranean,Ciutat Vella,26542,19009.0
645,Zacarias,646,263,4.0,$$ - $$$,4.0,"Calle Ciscar 16, 46005, Valencia Spain",46005,Beer restaurants,,l'Eixample,76697,20299.0
646,Beirut Restaurantes Ruzafa,647,186,4.0,$$ - $$$,4.0,"Calle Carlos Cervera 22, 46006, Valencia Spain",46006,Lebanese,Mediterranean,l'Eixample,76697,20299.0
647,Aceite En La Mesa,648,71,4.5,$$ - $$$,4.0,"Calle Buen Orden 2, 46008, Valencia Spain",46008,Mediterranean,Spanish,Extramurs,73050,16794.0
648,el balco del micalet,649,444,4.0,$$ - $$$,4.0,"Calle Tapineria 27, 46001, Valencia Spain",46001,Mediterranean,European,Ciutat Vella,26542,19009.0
649,El Bressol,650,37,5.0,$$$$,7.0,"Calle de Serrano Morales 11, 46004, Valencia Spain",46004,Mediterranean,Spanish,l'Eixample,76697,20299.0
650,Oganyo,651,123,4.0,$$$$,7.0,"Calle Belgica 30, 46021, Valencia Spain",46021,Mediterranean,Spanish,Algirós,68400,15105.0
651,Snack Attack,652,53,5.0,$,1.0,"Escolania de la Mare de Deu, 46003, Valencia Spain",46003,Mediterranean,European,Ciutat Vella,26542,19009.0
652,Levante Plaza,653,21,5.0,$$ - $$$,4.0,"Plaza del Ayuntamiento 4, 46002, Valencia Spain",46002,Mediterranean,Spanish,Ciutat Vella,26542,19009.0
653,Andalus Dolc,654,87,4.5,$,1.0,"Calle Yecla 16, 46021, Valencia Spain",46021,Moroccan,Middle Eastern,Algirós,68400,15105.0
654,Shish Mahal,655,169,4.0,$$ - $$$,4.0,"Calle Poeta Artola 13, 46021, Valencia Spain",46021,Indian,Middle Eastern,Algirós,68400,15105.0
655,Gastrobar Arantxa,656,33,5.0,$$ - $$$,4.0,"Carrer de Bernat Fenollar, 10, 46021, Valencia Spain",46021,Mediterranean,Spanish,Algirós,68400,15105.0
656,L'Incontro Ristorante,657,117,4.5,$$ - $$$,4.0,"Avenida Tres Cruces 79, 46014, Valencia Spain",46014,Mediterranean,Contemporary,Patraix,40168,13331.0
657,La Sucursal en Veles e Vents,658,249,4.0,$$$$,7.0,"Muelle de la Aduana s/n Ático planta 3 Veles e Vents, 46024, Valencia Spain",46024,Mediterranean,European,Poblats Marítims,82178,11698.0
658,"La Tagliatella C/ San Vicente Martir, Valencia",659,209,4.0,$$ - $$$,4.0,"Calle de San Vicente Martir 23, 46002, Valencia Spain",46002,Italian,Pizza,Ciutat Vella,26542,19009.0
659,Bar Restaurante Os Galegos,660,170,4.0,$$ - $$$,4.0,"Plaza Poeta Salvador Rueda 2, 46009, Valencia Spain",46009,Spanish,,La Saïdia,7022,13023.0
660,Restaurant Layali,661,57,4.5,$$ - $$$,4.0,"Calle Escultor Alfonso Gabino 12, 46022, Valencia Spain",46022,Lebanese,Middle Eastern,Algirós,68400,15105.0
661,Restaurante Maipi,662,218,4.0,$$ - $$$,4.0,"Calle Maestro Jose Serrano 1, 46005, Valencia Spain",46005,Mediterranean,Spanish,l'Eixample,76697,20299.0
662,Restaurante Espurnes,663,54,4.5,$$$$,7.0,"L´Ambaixador Vich, 6 Bajo Derecha, 46002, Valencia Spain",46002,Mediterranean,European,Ciutat Vella,26542,19009.0
663,MO Valencia Gastrobar,664,103,4.0,$$ - $$$,4.0,"Calle del Pintor Ricardo Verde 1 Zona Mestalla, 46010, Valencia Spain",46010,Mediterranean,Spanish,El Pla del Real,26491,20207.0
664,The Black Turtle - Xuquer,665,542,4.0,$$ - $$$,4.0,"Placa Xuquer 7, 46021, Valencia Spain",46021,American,,Algirós,68400,15105.0
665,Cafe Infanta,666,847,3.5,$$ - $$$,4.0,"Plaza Tossal 3, 46001, Valencia Spain",46001,Bar,Cafe,Ciutat Vella,26542,19009.0
666,Nori,667,119,4.5,$$ - $$$,4.0,"Calle Historiador Diago 20, 46007, Valencia Spain",46007,Japanese,Asian,Extramurs,73050,16794.0
667,Restaurante Galileo Club Gastronomico,668,76,4.5,$$ - $$$,4.0,"Avenida los Naranjos s/n Galileo Galilei Building, 46022, Valencia Spain",46022,Mediterranean,Spanish,Algirós,68400,15105.0
668,La Taberna de Marisa,669,709,3.5,$$ - $$$,4.0,"Calle Caballeros 47, 46001, Valencia Spain",46001,Mediterranean,European,Ciutat Vella,26542,19009.0
669,Tandoor Masala,670,104,4.5,$$$$,7.0,"C/Padre Tomas de Montanana, 6, 46021, Valencia Spain",46021,Indian,,Algirós,68400,15105.0
670,Los Hechizos De Morgana Vara de Quart,671,78,4.5,$$ - $$$,4.0,"Carrer dels traginers 14, 46014, Valencia Spain",46014,European,Spanish,Patraix,40168,13331.0
671,Joaquin Schmidt,672,72,4.5,$$$$,7.0,"Calle Visitacion 7, 46009, Valencia Spain",46009,Mediterranean,European,La Saïdia,7022,13023.0
672,Rincon de Roberto,673,136,4.0,$$ - $$$,4.0,"Calle Conde de Altea 35, 46005, Valencia Spain",46005,Mediterranean,Spanish,l'Eixample,76697,20299.0
673,Malafama Canyamelar,674,116,4.0,$,1.0,"Calle Francisco Cubells 37 Ground Floor, Left, 46011, Valencia Spain",46011,Spanish,Bar,Poblats Marítims,82178,11698.0
674,NAS VLC,675,26,5.0,,,"Carrer De Roteros, 12, 46003, Valencia Spain",46003,Mediterranean,Spanish,Ciutat Vella,26542,19009.0
675,El Rus Entrepans,676,330,4.0,$,1.0,"Calle Sueca 35, 46006, Valencia Spain",46006,Bar,Mediterranean,l'Eixample,76697,20299.0
676,La Mirona,677,103,4.5,$$ - $$$,4.0,"Calle Conde de Altea 9 Bajo Izquierda, 46005, Valencia Spain",46005,Mediterranean,Spanish,l'Eixample,76697,20299.0
677,La Gazzana,678,51,5.0,$$ - $$$,4.0,"Calle Masquefa 66, 46020, Valencia Spain",46020,Italian,Mediterranean,Benimaclet,46868,14834.0
678,Bodeguita Lounge,679,151,4.5,$$ - $$$,4.0,"Avenida Blasco Ibanez 190 46022, 46022, Valencia Spain",46022,Spanish,,Algirós,68400,15105.0
679,Blackbird,680,77,4.5,$$ - $$$,4.0,"Calle de la Reina Dona Maria 7, 46006, Valencia Spain",46006,European,Contemporary,l'Eixample,76697,20299.0
680,La Perleta Valenciana,681,165,4.0,$$ - $$$,4.0,"Calle Albufera 48, 46012 El Palmar, Valencia Spain",46012,Mediterranean,Spanish,,,
681,Asador Aurora,682,134,4.0,$$ - $$$,4.0,"Calle Bachiller 1, 46010, Valencia Spain",46010,Steakhouse,Spanish,El Pla del Real,26491,20207.0
682,Cerveceria Juan,683,135,4.0,$,1.0,"Calle Islas Canarias 60, 46023, Valencia Spain",46023,Mediterranean,Spanish,Camins al Grau,46154,13788.0
683,Las Grecas Bar,684,68,4.5,$$ - $$$,4.0,"Calle Rodriguez de Cepeda 33, 46021, Valencia Spain",46021,Mediterranean,Spanish,Algirós,68400,15105.0
684,Le Petit Bistro Del Pensat I Fet,685,153,4.5,$$ - $$$,4.0,"Calle Huesca 2, 46001, Valencia Spain",46001,Mediterranean,Spanish,Ciutat Vella,26542,19009.0
685,Goiko - Martinez Cubells 4,686,213,4.0,$,1.0,"Calle de Martinez Cubells 4, 46002, Valencia Spain",46002,American,,Ciutat Vella,26542,19009.0
686,Pizzeria Porrino,687,165,4.0,$$ - $$$,4.0,"Calle del Conde de Altea 36, 46005, Valencia Spain",46005,Pizza,European,l'Eixample,76697,20299.0
687,La Tia Juana Valencia,688,228,4.0,$$ - $$$,4.0,"Carrer dels Cavallers, 42, 46001, Valencia Spain",46001,Mexican,,Ciutat Vella,26542,19009.0
688,El Pessic,689,70,4.5,$$ - $$$,4.0,"Calle Reverendo Rafael Tramoyeres 3, 46020, Valencia Spain",46020,French,Spanish,Benimaclet,46868,14834.0
689,Mamalu ruzafa,690,79,4.5,$$ - $$$,4.0,"Calle Literato Azorin 4 Esquina calle Cadiz, 46006, Valencia Spain",46006,Mediterranean,European,l'Eixample,76697,20299.0
690,Zazu,691,414,3.5,$,1.0,"Plaça Periodista Ros Belda 6, 46021, Valencia Spain",46021,American,Spanish,Algirós,68400,15105.0
691,Ness Restaurant,692,411,4.0,$$ - $$$,4.0,"Calle Caballeros 5 Bajo Derecha, 46001, Valencia Spain",46001,Spanish,,Ciutat Vella,26542,19009.0
692,Malinche,693,427,3.5,$$ - $$$,4.0,"Calle de Perez Escrich 11, 46008, Valencia Spain",46008,Mexican,Latin,Extramurs,73050,16794.0
693,La Pilareta,694,660,3.5,$$ - $$$,4.0,"Carrer Moro Zeit 13, 46001, Valencia Spain",46001,Spanish,Bar,Ciutat Vella,26542,19009.0
694,Il Rosso,695,365,3.5,$$ - $$$,4.0,"Calle La Guardia Civil 21, 46020, Valencia Spain",46020,Italian,Pizza,Benimaclet,46868,14834.0
695,Casa Nostra da Saverio,696,144,4.5,$$ - $$$,4.0,"Calle del Conde de Altea 27, 46005, Valencia Spain",46005,Italian,Pizza,l'Eixample,76697,20299.0
696,Lios Restaurant,697,127,4.5,$$ - $$$,4.0,"Partida del Divendres 18, 46470, Valencia Spain",46470,Spanish,Mediterranean,,,
697,Gamboa Restaurant,698,62,4.5,$$$$,7.0,"Plaza Periodista Ros Belda 6 Muy cerca del Estadio Mestalla., 46021, Valencia Spain",46021,Mediterranean,Spanish,Algirós,68400,15105.0
698,O 'Sole mio,699,86,4.5,$$ - $$$,4.0,"Carrer d'Alberic, 5, 46014, Valencia Spain",46014,Italian,Pizza,Patraix,40168,13331.0
699,Casa Vidal,700,113,4.5,$$ - $$$,4.0,"Calle Carolina Alvarez 41, 46023, Valencia Spain",46023,Spanish,Mediterranean,Camins al Grau,46154,13788.0
700,Alhambra Massanassa,701,103,4.0,$$ - $$$,4.0,"Carrer Partida del Divendres, 46470, Valencia Spain",46470,Mediterranean,Spanish,,,
701,Barecito,702,193,4.0,$$ - $$$,4.0,"Calle Poeta Micer Masco 36, 46010, Valencia Spain",46010,Spanish,Contemporary,El Pla del Real,26491,20207.0
702,Damura Ramen Bar,703,38,4.5,$$ - $$$,4.0,"Calle del Doctor Serrano 17, 46006, Valencia Spain",46006,Japanese,Asian,l'Eixample,76697,20299.0
703,Saona Martinez Cubells,704,174,4.0,$$ - $$$,4.0,"Calle Martinez Cubells, 46002, Valencia Spain",46002,Mediterranean,Spanish,Ciutat Vella,26542,19009.0
704,Restaurante M,705,214,4.0,$$ - $$$,4.0,"Calle del Conde de Salvatierra, n 37, 46004, Valencia Spain",46004,Mediterranean,European,l'Eixample,76697,20299.0
705,La Gnocca del Pirata,706,129,4.5,$$ - $$$,4.0,"Calle San Vicente Martir 231, Bajo 2, 46007, Valencia Spain",46007,Italian,,Extramurs,73050,16794.0
706,El Almacen - Nueva Cocina Rustica,707,457,3.5,$$ - $$$,4.0,"Calle Sueca 41, 46006, Valencia Spain",46006,Mediterranean,European,l'Eixample,76697,20299.0
707,Restaurante Yuk Mi,708,95,4.5,$$ - $$$,4.0,"Calle Salabert 24, 46018, Valencia Spain",46018,Asian,Korean,l'Olivereta,35767,11410.0
708,El Pastoret,709,183,4.0,$$ - $$$,4.0,"Carretera Fuente en Corts 88, 46013, Valencia Spain",46013,Steakhouse,Mediterranean,Quatre Carreres,52940,12357.0
709,Restaurante Escena Valencia,710,66,4.5,$$ - $$$,4.0,"Calle de San Vicente Martir 155B, 46007, Valencia Spain",46007,Mediterranean,Spanish,Extramurs,73050,16794.0
710,Chang Fu restaurant,711,113,4.5,$,1.0,"Calle Bailen 4, 46007, Valencia Spain",46007,Chinese,Asian,Extramurs,73050,16794.0
711,Apapacho,712,38,4.5,$$ - $$$,4.0,"Calle Artes Graficas 9 Valencia, 46010, Valencia Spain",46010,Mediterranean,Spanish,El Pla del Real,26491,20207.0
712,Voltereta,713,157,4.0,$$$$,7.0,"Carrer d'Isabel la Catòlica, 11, 46004, Valencia Spain",46004,American,Bar,l'Eixample,76697,20299.0
713,Bodega Albarizas,714,52,4.5,$$ - $$$,4.0,"Calle Antonio Suarez 29 Bajo, 46021, Valencia Spain",46021,Bar,Spanish,Algirós,68400,15105.0
714,Llebeig Cafe,715,287,4.0,$$ - $$$,4.0,"Paseo Alameda 6, 46010, Valencia Spain",46010,Bar,Mediterranean,El Pla del Real,26491,20207.0
715,Marshall&Co,716,97,4.5,$$ - $$$,4.0,"Avenida Corts Valencianes 26, 46015, Valencia Spain",46015,Cafe,Pub,Campanar,35767,15126.0
716,Restaurante Vuelve Carolina,717,1623,3.5,$$ - $$$,4.0,"Calle de Correos Numero 8, 46002, Valencia Spain",46002,Mediterranean,European,Ciutat Vella,26542,19009.0
717,Ultramarinos Huerta,718,38,4.5,,,"Carrer Del Mestre Gozalbo, 13, 46005, Valencia Spain",46005,Spanish,,l'Eixample,76697,20299.0
718,Go Salad,719,25,5.0,$,1.0,"Plaça del Xúquer, 14, 46021, Valencia Spain",46021,Fast Food,Mediterranean,Algirós,68400,15105.0
719,Restaurante La Maritima,720,216,4.0,$$ - $$$,4.0,"Muelle de la Aduana S/N Planta 0 Veles e Vents, 46023, Valencia Spain",46023,Mediterranean,Spanish,Camins al Grau,46154,13788.0
720,El Tarantin Chiflado,721,165,4.0,$,1.0,"Av. de Pius XII, 19, 46015, Valencia Spain",46015,American,Latin,Campanar,35767,15126.0
721,Restaurante Maluquer Quattro,722,76,4.5,$$ - $$$,4.0,"Calle Maluquer 4, 46007, Valencia Spain",46007,Mediterranean,Spanish,Extramurs,73050,16794.0
722,Che Baires,723,125,4.5,$$ - $$$,4.0,"Calle Reina Dona Germana 10, 46005, Valencia Spain",46005,Latin,Argentinean,l'Eixample,76697,20299.0
723,Entretorres,724,228,4.0,$$ - $$$,4.0,"Calle Caballeros 35, 46001, Valencia Spain",46001,Mediterranean,European,Ciutat Vella,26542,19009.0
724,Alcantara Bistrot,725,67,4.5,$$ - $$$,4.0,"Calle Villanueva y gascón n 10 5 minuto de la parada de la metro Angel Guimera, 46008, Valencia Spain",46008,Mediterranean,International,Extramurs,73050,16794.0
725,Bardebares,726,70,4.5,$$ - $$$,4.0,"Carrer de Sant Ferran, 20, 46001, Valencia Spain",46001,Spanish,Mediterranean,Ciutat Vella,26542,19009.0
726,Taberna Amparin,727,69,4.5,$,1.0,"Calle Joaquin Navarro 26, 46017, Valencia Spain",46017,Mediterranean,Spanish,Jesús,47788,11825.0
727,Restaurante El Bobo,728,407,3.5,$$ - $$$,4.0,"Paseo Maritimo, S/N, 46011, Valencia Spain",46011,Seafood,Mediterranean,Poblats Marítims,82178,11698.0
728,Augusto di Carmen,729,115,4.0,$$ - $$$,4.0,"Calle de Pedro III el Grande 10, 46005, Valencia Spain",46005,Italian,European,l'Eixample,76697,20299.0
729,Portobello Horno Cafeteria,730,75,4.5,$,1.0,"Avenida del Puerto 109, bajo derecha., 46022, Valencia Spain",46022,Healthy,Cafe,Algirós,68400,15105.0
730,The Fitzgerald Burger Company,731,261,4.0,$$ - $$$,4.0,"Calle Azagador de Alboraya 14, 46020, Valencia Spain",46020,American,Fast Food,Benimaclet,46868,14834.0
731,Restaurante Nou Raco,732,593,3.5,$$$$,7.0,"Carretera del Palmar, 21, 46012 El Palmar, Valencia Spain",46012,Mediterranean,European,,,
732,Piur,733,98,4.0,$$ - $$$,4.0,"Carrer Pascual i Genis, 19, 46002, Valencia Spain",46002,Italian,Mediterranean,Ciutat Vella,26542,19009.0
733,Sushi & Tapas,734,195,4.0,$$ - $$$,4.0,"Calle Salamanca 10, 46005, Valencia Spain",46005,Japanese,Sushi,l'Eixample,76697,20299.0
734,Arroceria Terra i Mar,735,80,4.5,$$ - $$$,4.0,"Calle Ciscar 57, 46005, Valencia Spain",46005,Spanish,Mediterranean,l'Eixample,76697,20299.0
735,La CENTRAL Mediterranean Fresh Food,736,38,5.0,$,1.0,"Plaza del Mercado 1 esquina Calle Liñan 2, 46001, Valencia Spain",46001,Cafe,Mediterranean,Ciutat Vella,26542,19009.0
736,Osteria Del Poeta,737,65,4.5,$$ - $$$,4.0,"Calle de San Andres 4, 46002, Valencia Spain",46002,Italian,Tuscan,Ciutat Vella,26542,19009.0
737,Jalasan,738,105,4.0,$$ - $$$,4.0,"Calle Ciscar 48, 46005, Valencia Spain",46005,Korean,Asian,l'Eixample,76697,20299.0
738,Cerveceria Erajoma,739,207,4.0,$$ - $$$,4.0,"Calle Botanico Reyes Prosper 7, 46010, Valencia Spain",46010,Mediterranean,European,El Pla del Real,26491,20207.0
739,Basea,740,39,4.5,$$$$,7.0,"Carrer de Joaquin Costa 26, 46005, Valencia Spain",46005,Steakhouse,Mediterranean,l'Eixample,76697,20299.0
740,Los Guacamoles Valencia,741,25,4.5,$$ - $$$,4.0,"Calle del Conde de Altea 48 Cánovas, 46005, Valencia Spain",46005,Mexican,,l'Eixample,76697,20299.0
741,El Rall,742,2182,3.5,$$ - $$$,4.0,"Calle Tundidores 2, 46001, Valencia Spain",46001,Seafood,Mediterranean,Ciutat Vella,26542,19009.0
742,Sonata 32,743,33,5.0,$$$$,7.0,"Carrer Colon, 32 Hotel NH Collection Valencia Colon, 46004, Valencia Spain",46004,Mediterranean,Spanish,l'Eixample,76697,20299.0
743,Bastard Coffee & Kitchen,744,464,3.5,$$ - $$$,4.0,"Calle Leandro de Saralegui 1, 46021, Valencia Spain",46021,Cafe,European,Algirós,68400,15105.0
744,Haus,745,607,3.5,$$ - $$$,4.0,"Calle de Navellos 10, 46003, Valencia Spain",46003,Spanish,Catalan,Ciutat Vella,26542,19009.0
745,Min Dou,746,217,4.0,$,1.0,"Calle Pelayo 31, 46007, Valencia Spain",46007,Chinese,Asian,Extramurs,73050,16794.0
746,El Ocho Y Medio,747,1053,3.5,$$ - $$$,4.0,"Placa Lope de Vega 5, 46001, Valencia Spain",46001,Spanish,Mediterranean,Ciutat Vella,26542,19009.0
747,"La Tagliatella Roger de Lauria, Valencia",748,188,4.0,$$ - $$$,4.0,"Calle de Roger de Lauria 24, 46002, Valencia Spain",46002,Pizza,Italian,Ciutat Vella,26542,19009.0
748,Barecito del Carmen,749,63,4.5,$$ - $$$,4.0,"Plaza del Mercado 20, 46001, Valencia Spain",46001,Mediterranean,Spanish,Ciutat Vella,26542,19009.0
749,Fusion Sushi Nikkei & Burgers,750,24,5.0,$$ - $$$,4.0,"Calle Burriana 48, 46005, Valencia Spain",46005,Peruvian,Sushi,l'Eixample,76697,20299.0
750,Pepe Bucato,751,519,4.0,$$ - $$$,4.0,"Calle San Vicente Martir 24, 46002, Valencia Spain",46002,Pizza,Italian,Ciutat Vella,26542,19009.0
751,es,752,334,3.5,$,1.0,"Carrer De San Vicent Martir 16, 46002, Valencia Spain",46002,European,Spanish,Ciutat Vella,26542,19009.0
752,Los Alpes,753,46,4.5,$$ - $$$,4.0,"Calle Grabador Enguidanos 45 Zona Campanar, 46015, Valencia Spain",46015,Mediterranean,Spanish,Campanar,35767,15126.0
753,Goiko - Calle de la Paz 9,754,469,3.5,$$ - $$$,4.0,"Calle de la Paz 9, 46003, Valencia Spain",46003,American,,Ciutat Vella,26542,19009.0
754,Bocamada,755,145,4.5,$$$$,7.0,"Calle Denia 4, 46006, Valencia Spain",46006,Mediterranean,Spanish,l'Eixample,76697,20299.0
755,Bar Sueca,756,130,4.0,$,1.0,"Carrer de Sueca, 65, 46004, Valencia Spain",46004,Chinese,Asian,l'Eixample,76697,20299.0
756,De Claire Oyster Bar,757,46,4.5,$$ - $$$,4.0,"Calle Sevilla 27, 46006, Valencia Spain",46006,Seafood,,l'Eixample,76697,20299.0
757,El Trovador,758,73,4.5,$,1.0,"Calle del Conde de Salvatierra No 34, 46004, Valencia Spain",46004,Mediterranean,Spanish,l'Eixample,76697,20299.0
758,Maria Mandiles,759,919,3.5,$$ - $$$,4.0,"Calle del Padre Huerfanos 2 Pza. del Carmen, 46003, Valencia Spain",46003,Mediterranean,European,Ciutat Vella,26542,19009.0
759,Taberna Antonio Manuel,760,811,3.5,$$ - $$$,4.0,"Calle de San Vicente Mártir 42, 46002, Valencia Spain",46002,Bar,Mediterranean,Ciutat Vella,26542,19009.0
760,Castellar Tapas Bar,761,36,5.0,$$ - $$$,4.0,"Avenida Burjasot 172, 46025, Valencia Spain",46025,Mediterranean,Spanish,Benicalap,33298,11520.0
761,Las Cervezas Del Mercado,762,168,4.0,$$ - $$$,4.0,"Calle Jorge Juan 19 Mercado de Colon, 46004, Valencia Spain",46004,Bar,Mediterranean,l'Eixample,76697,20299.0
762,La Sillita de la Reina,763,44,4.5,$$ - $$$,4.0,"Calle Tomasos 17, 46006, Valencia Spain",46006,Spanish,Mediterranean,l'Eixample,76697,20299.0
763,La Barraquita,764,99,4.0,$$ - $$$,4.0,"Carrer de Moratín, 1, 46002, Valencia Spain",46002,Mediterranean,Spanish,Ciutat Vella,26542,19009.0
764,Baobab,765,158,4.0,$$$$,7.0,"Gran Vía Marqués del Turia 73, 46005, Valencia Spain",46005,Mediterranean,Spanish,l'Eixample,76697,20299.0
765,Restaurante Japones Tokyo,766,27,5.0,$$ - $$$,4.0,"Avenida Reino De Valencia 66 Bajo, 46005, Valencia Spain",46005,Japanese,,l'Eixample,76697,20299.0
766,Restaurante Nesma,767,33,4.5,$$ - $$$,4.0,"Carrer de l'Escultor Alfons Gabino, 23, 46022, Valencia Spain",46022,Lebanese,Arabic,Algirós,68400,15105.0
767,Elia,768,37,4.5,$$ - $$$,4.0,"Avenida Francia 65, 46023, Valencia Spain",46023,Mediterranean,Greek,Camins al Grau,46154,13788.0
768,Thai Mongkut Ruzafa,769,59,4.5,$$ - $$$,4.0,"Calle de Sevilla 27, 46006, Valencia Spain",46006,Asian,Thai,l'Eixample,76697,20299.0
769,Restaurante Fuji,770,434,4.0,$$ - $$$,4.0,"Carrer del Justicia, 1, 46003, Valencia Spain",46003,Japanese,,Ciutat Vella,26542,19009.0
770,Casa Enrique,771,49,4.5,$$ - $$$,4.0,"Plaza Actor Enrique Rambal 2, 46022, Valencia Spain",46022,Mediterranean,Spanish,Algirós,68400,15105.0
771,Circo,772,41,4.5,$$ - $$$,4.0,"Gran Via del Marquès del Túria 25, 46004, Valencia Spain",46004,Fast Food,Street Food,l'Eixample,76697,20299.0
772,Le Cinque Lune,773,128,4.0,$$ - $$$,4.0,"Calle Ciscar 23, 46005, Valencia Spain",46005,Italian,Pizza,l'Eixample,76697,20299.0
